Name,Documento / tecnologia,Punti chiave noti,Limite tecnico/clinico principale,Quale idea vuoi riusare,In cosa Eco 3D si differenzia / migliora concretamente
1,CN 115040157 A – multi-probe ToF scanning,- Più sonde acquisiscono indipendentemente segnali digitali di eco e li caricano in tempo reale sull’host- L’host elabora in sincrono segnali e informazioni di orientamento per ricostruire immagini 3D fuse senza spostare le sonde,"- Architettura limitata a due ruoli (“posizionamento” vs “monitoraggio”), basata su ritardi Time-of-Flight per calcolo dell’orientamento relativo- Supporto solo per coppie di sonde, non per sistemi multi-regione o multi-profondità in tempo reale",– Sincro multi-sonda e calcolo TOF dell’orientamento relativo,"– Supporto nativo di un numero arbitrario di sonde (convex, lineari, phased-array, micro-convex) senza distinzione fissa di ruoli– Imaging volumetrico 3D/4D real-time (>10 vol/s) con AI per super-risoluzione e riduzione artefatti– Design portatile handheld con manicotti autogel e sincronizzazione avanzata per più distretti anatomici contemporaneamente"
2,US 6503199 B1 – free-hand 3D meccanico,- Singola sonda 2D su meccanismo rotante per scansioni radiali<br/>- Pattern di emissione non uniforme per campionamento volumetrico omogeneo,"- Dipendenza da parti meccaniche o manuali, con variabilità di velocità, allineamento e risoluzione<br/>- Stitching soggetto a artefatti sui bordi del volume",– Sistema di suzione per migliorare l’aderenza della sonda alla cute,"– Movimenti meccanici robotizzati, altamente precisi e ripetibili<br/>– Array multitransduttori per acquisire il volume in un unico istante<br/>– Near real-time a 3–5 volumi/s, garantendo scorrimento continuo e riduzione degli artefatti legati al movimento"
3,US 10401493 B2 – tracking 3D/2D,Sonda 2D con sensori di tracking ottici/eletromagnetici e IMU per mappatura spaziale degli sweep,"Supporta solo un trasduttore; dipende da sensori esterni e post-processing, non real-time volumetrico",Fusione di dati ecografici e tracking spaziale per ricostruzione volumetrica,"Integrazione ToF+IMU direttamente nelle sonde, sincronizzazione multi-sonda e imaging near real-time a 3–5 volumi/s senza hardware esterno"
4,US 2024285256 A1 – Multi-probe ultrasound scanning device and method,• Acquisizione indipendente di più trasduttori con invio real-time dei segnali echo• Orientamento relativo calcolato via Time-of-Flight,• Richiede set fisso di sonde e supporti dedicati con calibrazione manuale iniziale• Elaborazione 3D centralizzata con latenza (~1–3 vol/s) e senza algoritmi AI avanzati,• Calcolo orientamento via ToF,"• Auto-calibrazione continua: ToF + IMU integrati in ciascuna sonda, eliminando moduli esterni di posizionamento• Elaborazione distribuita: preprocessamento parziale on-board per ridurre latenza e garantire 3–5 vol/s near real-time• AI embedded: pipeline modulare con algoritmi di speckle reduction e super-risoluzione già implementati"
5,US 2014/0235962 A1 – multi-modal volumetric breast imager,"• Cup a vuoto con inner cup perforato e outer cup rigido per immobilizzazione e accoppiamento acustico• Array di trasduttori su steli a molla con encoder lineari, multi-angolo 3D senza movimento esterno","• Limitato al singolo distretto mammario, ingombrante e non portatile• Ricostruzione multimodale offline, non ottimizzata per visualizzazione real-time",– Sistema di vacuum suction per migliorare l’aderenza e la stabilità,– Design portatile e handheld che applica il vuoto localmente senza cup ingombrante– Multi-regione anatomica anziché solo mammella– Imaging near real-time a 3–5 volumi/s con AI per super-risoluzione e riduzione artefatti
6,CN 105147326 A – sistema di riscaldamento integrato per ecografi multisonda,- Carrello con guide orizzontali e tre alloggi probe- Scatola di mantenimento termico con distribuzione aria calda a “T”- Valvola manuale e ruote per mobilità,"- Nessuna funzione di imaging: non prevede acquisizione né ricostruzione volumetrica- Ingombrante e non portatile, focalizzato solo sul comfort termico",– il concetto di riscaldamento integrato di sonde e area paziente,"– In Eco 3D il riscaldamento è integrato nei manicotti autogel, eliminando carrelli ingombranti– Supporta imaging volumetrico 3D/4D near real-time (3–5 volumi/s) multi-sonda con AI di super-risoluzione– Design compatto, handheld e robotizzato con sincronizzazione automatica delle sonde"
7,CN 112206003 A – cascaded multi-probe socket,- N interruttori a due stati in serie per instradare M prese sonde- Pilotaggio digitale che abilita uno switch per volta- Architettura modulare che semplifica il cablaggio,"- Solo gestione elettrica dei canali, nessuna funzione di imaging o elaborazione ultrasonica- Latenza di commutazione, non supporta operatività simultanea delle sonde",–,"– Eco 3D consente l’acquisizione simultanea di tutte le sonde tramite front-end multi-canale dedicato, senza circuiti di multiplexing– Supporta imaging volumetrico 3D/4D near real-time (3–5 vol/s) multi-sonda con AI per super-risoluzione e riduzione artefatti– Design compatto, handheld e robotizzato con sincronizzazione automatica e plug-and-play delle sonde"
8,GE Voluson / Venue / Vscan Air + Caption AI,"4D rendering ostetrico, ABUS seno, guida AI in tempo reale",Scansione ancora manuale; automazione solo verticale; sistemi costosi e ingombranti,Guida AI al posizionamento; esperienza 4D fetale,• Scansione multi-sonda automatica su più distretti• Hardware più compatto e costo per esame ridotto
9,Philips EPIQ / Affiniti / xMATRIX,"Live 3D Echo & TEE, fusion CT/MR, AI cardio-quant",Nessuna robotica; forte dipendenza dall’operatore esperto,Algoritmi di fusion imaging cardio,"• Eco 3D general-purpose, non solo cardiologia• Movimenti robotizzati con posizionamento auto-guidato"
10,Siemens Acuson S2000 ABVS,ABVS seno 3D completamente automatico,Automazione confinata al seno; no multi-distretto,Concetto ABVS di scansione interamente hands-free,• Stessa filosofia “hands-free” per tutto il corpo• AI di fusione multi-angolo nativa
11,Canon Aplio i-series,"Fly-through 3D endoluminale, micro-flow imaging, AI enhancement",3D manuale; assente robotica/multi-probe,Virtual endoscopy ecografica,• Acquisizione volumetrica automatica multi-probe• Copertura angolare più ampia senza manoeuvre manuali
12,Fujifilm SonoSite (portatili) + Sofia ABUS,"Portatilità rugged, elastografia, ABUS seno",Portatili solo 2D; automazione dedicata e singolo distretto,Robustezza POCUS + elastografia avanzata,• Eco 3D unisce vera volumetria e portabilità• Un unico device per 2D e 3-5 vol/s 3D/4D
13,Mindray Resona 7 / pMUT roadmap,"3D/4D low-cost, AI auto-misure, Zone imaging",Scansione manuale; nessuna multi-sonda; percezione “follower”,Approccio pMUT siliconico miniaturizzato,• Funzione esclusiva di scansione autonoma multi-sonda• Vantaggio brevettuale combinato HW/SW
14,Samsung HERA / RS85 (CrystalLive 4D),"Rendering fotorealistico Realistic Vue, AI S-Detect",Focalizzato su women’s health; zero robotica,Fotorealismo 4D + UI consumer-grade,• Eco 3D ≠ solo ostetricia: multi-organo• Automazione → minore variabilità operatore
15,Esaote MyLab Omega / Alpha 3D,"3D statico MSK & cardio, AI misure niche","Mid-range, R&D limitata, input manuale",Soluzioni compatte dedicate a MSK,• Eco 3D mira all’high-end volumetrico automatico• Standardizzazione esame multi-organo
16,GE Invenia ABUS,Scansione automatica volumetrica del seno con piani coronali,Solo imaging seno; esame > 15 min,Automazione 3D per distretto specifico,• Multi-distretto: applicazione per tutto il corpo• Esame rapido (< 5 min) con ricostruzione near real-time
17,Siemens Acuson S2000 ABVS,Sistema ABVS completamente automatico per imaging volumetrico mammario,Limitato al seno; non estensibile ad altri distretti,Workflow hands-free per singolo distretto,• “Hands-free” esteso a qualsiasi organo• Fusione multi-angolo e AI nativa
18,Delphinus SoftVue (anello 360°),Tomografia ultrasonica a trasmissione+riflessione con array anulare 360°,Solo seno; macchina ingombrante e non portatile,Multi-modalità (transmission + reflection),"• Design compatto, handheld senza anello 360°• Multi-sonda sincronizzata per imaging volumetrico completo"
19,QT Imaging QTscan,Quantitative transmission imaging per valutazione dei tessuti della mammella,Limitato al seno; nessuna ricostruzione 3D/4D real-time,Misura quantitativa della velocità di trasmissione,• Integrazione quantitative + 3–5 vol/s 3D/4D multi-sonda• AI per analisi quantitativa avanzata
20,ROPCA ARTHUR (robot mano artrite),Robot autonomo per scansione ecografica della mano,Solo distretto mano; imaging 3D volumetrico non previsto,Posizionamento robotico delle sonde,• Robotica per qualsiasi distretto anatomico• Volumetria multi-sonda real-time con sincronizzazione ToF/IMU
21,AdEchoTech MELODY (tele-eco),Braccio tele-operato per ecografia a distanza,"Non autonomo: dipende da operatore remoto, nessuna fusione multi-sonda",Tele-ecografia remota,• Ecografia autonoma senza operatore remoto• Fusione multi-sonda e AI-guidata per ricostruzione 3D/4D
22,Butterfly iQ,"Sonda palmare CMOS-on-chip (CMUT) a basso costo, integrazione smartphone/tablet per display e controllo","Imaging 2D mono-sonda, nessuna vera ricostruzione 3D",Integrazione di un trasduttore CMOS compatto ed economico,• Architettura multi-patch: più sonde CMUT sincronizzate per vero volume 3–5 vol/s• Fusione AI nativa per super-risoluzione e riduzione artefatti
23,Clarius (wireless),"Sonda wireless portatile “carrellata” con qualità simile ai sistemi su carrello, streaming diretto via Wi-Fi","Limitato a 2D, no scansione automatica né 3D",Connettività wireless e batteria integrata,• Sistema cordless multi-sonda con sincronizzazione automatica• Scansione volumetrica 3D/4D near real-time senza operatore manuale
24,Exo Iris (pMUT),Prototipo palmare pMUT su silicio con promessa di 3D+AI in un form factor tascabile,"Ancora non sul mercato, 3D e AI non convalidate clinicamente",Uso di array PMUT miniaturizzati,• PMUT multi-array con calibrazione ToF integrata per multi-angolo• Ricostruzione volumetrica reale e AI-driven in un dispositivo compatto
25,EchoNous Kosmos,"Point-of-care AI-guided per applicazioni cardio, sonda 2D + algoritmi di guida in tempo reale","Solo 2D con guida, nessuna multi-sonda né 3D reale",Algoritmi di AI-guidance in tempo reale,• Estensione AI-guidance su multi-sonda per ricostruzione volumetrica 3D/4D• Automazione dei movimenti e posizionamento robotico delle sonde
26,GE + NVIDIA (annuncio 2025),Prototipo di automazione “eco/X-ray”: integrazione robotica per flussi di lavoro eco + radiologia in sala ibrida,"R&D, demo su eco + RX; non è un sistema ecografico autonomo 3D",Workflow multimodale completamente orchestrato,• Estende l’automazione a un sistema multi-sonda ultrasound 3D/4D• Imaging volumetrico near real-time senza dipendenza da radiologia
27,MGIUS-R3 (MGI Tech),"Robot mobile per tele-ecografia rurale in Cina, primissima adozione commerciale",Dipende da operatore remoto; solo imaging 2D; zero volumetria,Robotica mobile per tele-cura,• Ecografia autonoma multi-sonda senza operatore remoto• Volumetria 3–5 vol/s con AI di fusione e super-risoluzione
28,"Bracci custom in ricerca (NASA, Canada)","Prototipi di bracci robotici per ecografia in ambienti estremi (es. spazio, remoto), stadio R&D","Soluzioni sperimentali, non convalidate clinicamente; hardware ingombrante",Robotica di precisione per posizionamento sonde,"• Design compatto e modulare per sonde multiple• Sincronizzazione ToF/IMU e AI-fusion per volume 3D continuo, anche in spazi ristretti"
29,TC low-dose / conteggio fotoni (Siemens Somatom PCD),Rilevazione diretta dei fotoni con discriminazione energetica; dose di radiazione ↓ 2–3×; risoluzione spaziale sub-mm; imaging spettrale,"Radiazioni ionizzanti; imaging statico, non real-time; apparecchiatura ingombrante e costosa; scarsa soft-tissue contrast",Discriminazione energetica multispettrale per caratterizzazione tissutale,"• Zero radiazioni, imaging 3–5 vol/s in soft tissue• Discriminazione dei tessuti via AI anziché spettri X-ray"
30,EOS 3D a raggi X (EOS Imaging),Slot-scanning biplanare con lame di raggi X; modelli scheletrici 3D low-dose in carico; due viste ortogonali sincronizzate,Solo ossa; statico in posizione eretta; bulk system; nessuna informazione su tessuti molli,Geometria biplanare sincronizzata per ricostruzione tridimensionale,• Volumetria soft-tissue in real-time 3–5 vol/s senza radiazioni• Copertura multi-angolo con più sonde simultanee
31,MRI portatile basso campo (Hyperfine Swoop),"Magneti permanenti <0,1 T; design mobile bedside; nessuna radiazione; sequenze eco di spin/gradiente ottimizzate per basso campo",Bassa SNR e risoluzione; tempi di scansione lunghi (minuti); costo elevato; ingombro di schermature e criogenici,Design compatto e auto-shielding per imaging portatile,"• Tempo di acquisizione 1 s/volume vs minuti; real-time near real-time 3–5 vol/s• Zero magneti, zero ingombro di schermature, altissima soft-tissue temporal resolution"
32,Cone Beam CT arti (Planmed / CurveBeam),"Fascio conico rotante attorno all’arto; flat-panel detector; voxel 0,2 mm; ricostruzione FDK; eccellenza in imaging osseo in carico","Radiazioni ionizzanti; statico, non dinamico; limitato a ossa; non portatile",Campionamento conico rotazionale per copertura volumetrica completa,• Multi-sonda US con copertura conica simultanea senza movimenti meccanici• Imaging soft tissue volumetrico real-time e AI-driven per segmentazione dinamica
